id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall,timestamp,duration
227,3.616,2.144,0.672,-0.768,0.032,-0.896,0.8656666666666669,0.7869999999999995,0.046333333333333344,1.0464505555555563,0.17050833333333335,0.13926122222222226,Try to Keep Balance,0,1521642156.105,4.980999946594238
228,3.616,1.664,0.672,-0.768,0.064,-0.96,0.8692244897959186,0.726530612244897,0.15510204081632656,1.0607740108288213,0.10955147355268635,0.13649192836318197,Try to Keep Balance,0,1521642158.605,4.960999965667725
229,2.688,1.632,0.896,-0.8,-0.128,-0.96,0.8774939759036142,0.6469397590361441,0.1168192771084338,0.922639310204674,0.11385024938307445,0.15183412396574256,Try to Keep Balance,0,1521642161.105,4.924000024795532
230,2.592,1.632,0.896,-0.8,-0.128,-0.704,0.6272000000000001,0.6053333333333335,0.15680000000000005,0.7717273600000004,0.1349390222222223,0.1307204266666666,Try to Keep Balance,0,1521642163.605,4.2809998989105225
231,2.432,0.864,0.288,-0.16,-0.128,-0.256,0.9224220183486229,0.2424954128440369,0.0484403669724771,0.16319824391886203,0.015017919703728646,0.005422778553993771,Jump,0,1521642341.7589998,4.9590003490448
232,4.064,2.432,2.496,-0.32,-0.8,-1.344,0.9403963963963966,0.3130810810810811,0.10118918918918922,0.8138894284554825,0.20229821865108352,0.18733739663988316,Jump,0,1521642344.2589998,4.999000310897827
233,4.064,2.432,2.496,-0.384,-0.8,-1.344,0.9186415094339624,0.33690566037735853,0.14279245283018874,1.3048265318618726,0.2839804627981488,0.24116503239587025,Jump,0,1521642346.7589998,4.994000196456909
234,3.584,1.888,1.056,-0.384,-0.416,-1.024,0.8219797979797985,0.31030303030303047,0.09309090909090914,1.1777788682787464,0.21434604958677686,0.11423476951331502,Jump,0,1521642349.2589998,4.994000196456909
235,4.064,1.856,1.056,-0.48,-0.416,-1.024,0.8745714285714278,0.337142857142857,0.04742857142857143,1.0085739591836738,0.18472097959183673,0.09834024489795912,Jump,0,1521642351.7589998,4.9730000495910645
236,4.064,1.28,0.992,-0.48,-0.512,-1.12,0.9463247863247867,0.2890940170940172,0.018324786324786315,1.0781987663087154,0.1352193159471108,0.09841456118050995,Jump,0,1521642354.2589998,4.993000268936157
237,4.064,1.28,1.568,-0.384,-0.512,-1.408,0.9803010752688169,0.3003870967741937,0.018924731182795702,1.0445193072031447,0.10951365660770028,0.152416048098046,Jump,0,1521642356.7589998,4.0350000858306885
238,0.448,0.512,1.12,-0.032,-0.576,0.704,0.27921568627450993,0.25160784313725504,0.8853333333333333,0.007151071126489809,0.0852538069973087,0.0049259084967320284,Sitting Still,0,1521642412.656,4.980000019073486
239,0.448,0.512,1.12,-0.032,-0.576,0.704,0.2465882352941178,0.0969411764705883,0.9491764705882353,0.005814477508650501,0.043248055363321714,0.0040240276816608965,Sitting Still,0,1521642415.156,4.970000267028809
240,0.256,0.128,0.992,0.224,0.064,0.96,0.22720000000000015,0.09640000000000007,0.9735999999999996,9.215999999999985e-05,0.00014064000000000052,0.00025024000000000064,Sitting Still,0,1521642417.656,4.950000047683716
241,0.256,0.096,0.992,0.224,0.064,0.96,0.2244210526315791,0.09431578947368427,0.9717894736842104,1.3296398891966747e-05,5.105817174515236e-05,0.00023827146814404474,Sitting Still,0,1521642420.156,4.9700000286102295
242,0.256,0.096,0.992,0.224,0.064,0.96,0.22448484848484865,0.09212121212121219,0.9750303030303027,1.528007346189157e-05,0.00010907621671258035,0.00025505968778696077,Sitting Still,0,1521642422.656,4.92900013923645
243,0.224,0.096,0.992,0.224,0.064,0.96,0.22400000000000014,0.09066666666666671,0.9813333333333336,1.9259299443872359e-32,0.00014222222222222216,0.00022755555555555598,Sitting Still,0,1521642425.156,4.979000091552734
244,0.224,0.096,0.992,0.224,0.064,0.96,0.22400000000000017,0.0907755102040817,0.9756734693877552,2.7733391199176196e-32,0.00013988837984173257,0.0002558933777592673,Sitting Still,0,1521642427.656,4.989000082015991
245,0.256,0.096,0.992,0.224,0.064,0.96,0.2244383561643837,0.08942465753424664,0.9762191780821917,1.3835241133420904e-05,0.00016717583036216928,0.0002559519609682871,Sitting Still,0,1521642430.156,4.989000082015991
246,0.256,0.096,0.992,0.224,0.064,0.96,0.22451612903225823,0.08929032258064522,0.9796129032258061,1.6249739854318364e-05,0.00016968990634755454,0.00024294693028095789,Sitting Still,0,1521642432.656,4.9690001010894775
247,0.288,0.096,1.024,0.16,-0.224,0.512,0.22179310344827602,0.06455172413793107,0.9544827586206897,0.00020699167657550527,0.006090730083234245,0.008903077288941736,Sitting Still,0,1521642435.156,4.98799991607666
248,0.288,0.096,1.152,0.064,-0.224,0.512,0.1476923076923078,-0.023630769230769236,0.9688615384615378,0.003739720710059175,0.00794866366863905,0.009058703905325443,Sitting Still,0,1521642437.656,4.988000154495239
249,0.96,0.32,0.128,0.896,0.224,-0.032,0.921666666666666,0.2640000000000002,0.07733333333333339,0.00026922222222222197,0.0007253333333333335,0.002019555555555555,Throw Himself on Sofa,0,1521642542.602,4.940000057220459
250,0.96,0.32,0.096,0.896,0.224,-0.032,0.9248780487804881,0.28019512195121965,0.03824390243902441,0.0003399119571683518,0.0010879619274241517,0.0007102819750148723,Throw Himself on Sofa,0,1521642545.102,4.979000091552734
251,0.992,0.32,0.192,0.8,0.16,-0.032,0.9056000000000001,0.26346666666666685,0.12906666666666675,0.0014210844444444478,0.001070648888888889,0.0014210844444444441,Throw Himself on Sofa,0,1521642555.661,4.997999906539917
252,0.992,0.288,0.16,0.8,0.16,-0.032,0.8992820512820517,0.2527179487179488,0.10502564102564109,0.0014595871137409594,0.0012495358316896774,0.0018352557527942144,Throw Himself on Sofa,0,1521642558.161,4.7779998779296875
253,4.064,1.056,2.272,-0.48,-0.768,-0.736,0.5381224489795922,0.18318367346938785,0.3921632653061226,0.4347056992919616,0.10381647646813826,0.2961305855893377,Lie Still on Bed,0,1521642636.6169999,4.998000144958496
254,4.064,1.056,2.272,-0.48,-0.768,-0.736,0.04991999999999996,-0.004480000000000003,0.90752,0.30706319359999973,0.05750824959999998,0.15887400959999984,Lie Still on Bed,0,1521642639.1169999,4.998000144958496
255,0.032,0.096,1.12,-0.128,-0.096,0.896,-0.06098113207547175,-0.02505660377358492,1.0125283018867932,0.0008023581345674603,0.0013139024563901705,0.0013174567461730169,Lie Still on Bed,0,1521642641.6169999,4.998000144958496
256,-0.064,0.0,1.088,-0.096,-0.064,0.928,-0.0675555555555556,-0.032646464646464673,1.0062222222222235,0.00010113580246913572,0.00010301642689521454,0.00043902132435465744,Lie Still on Bed,0,1521642644.1169999,4.998000144958496
257,-0.064,0.0,1.024,-0.096,-0.064,0.992,-0.06461538461538466,-0.033538461538461566,1.0015384615384624,1.931360946745566e-05,6.655621301775155e-05,0.00021424852071005938,Lie Still on Bed,0,1521642646.6169999,4.982000112533569
258,-0.032,0.0,1.024,-0.064,-0.064,0.992,-0.06372413793103453,-0.03613793103448278,1.0016551724137945,8.751486325802622e-06,0.00013294649227110598,0.00021574316290130856,Lie Still on Bed,0,1521642649.1169999,4.982000112533569
259,-0.032,-0.032,1.024,-0.128,-0.064,0.992,-0.06342342342342347,-0.03718918918918922,1.0035315315315323,7.346936125314511e-05,0.0001391263696128559,0.00023603278954630318,Lie Still on Bed,0,1521642651.6169999,4.982000112533569
260,-0.032,0.0,1.024,-0.128,-0.064,0.992,-0.06312727272727278,-0.038690909090909116,1.0053818181818193,8.30201652892564e-05,0.0001879590082644627,0.000249145123966942,Lie Still on Bed,0,1521642654.1169999,4.942000150680542
261,-0.032,0.0,1.024,-0.064,-0.064,0.96,-0.06342857142857147,-0.0385714285714286,1.0054285714285724,1.7959183673469373e-05,0.00018538775510204048,0.00026767346938775497,Lie Still on Bed,0,1521642656.6169999,4.980000019073486
262,0.032,0.032,1.12,-0.096,-0.128,0.928,-0.059123809523809565,-0.040228571428571454,1.006019047619048,0.00028829895691609994,0.00048817632653061255,0.0007982091609977336,Lie Still on Bed,0,1521642659.1169999,4.980000257492065
263,0.032,0.032,1.12,-0.096,-0.128,0.928,-0.05771428571428576,-0.04342857142857146,1.0065714285714296,0.00030791836734693956,0.0005093877551020395,0.0007476734693877561,Lie Still on Bed,0,1521642661.6169999,4.980000019073486
264,-0.032,-0.032,1.024,-0.064,-0.064,0.96,-0.06111711711711716,-0.04410810810810814,1.0041081081081094,8.394123853583327e-05,0.00024085317750182635,0.00025930362795227704,Lie Still on Bed,0,1521642664.1169999,4.980000019073486
265,-0.032,-0.032,1.056,-0.064,-0.064,0.96,-0.06077064220183491,-0.04403669724770645,1.005504587155964,9.291069775271442e-05,0.00024029223129366214,0.00030613988721488124,Lie Still on Bed,0,1521642666.6169999,4.938000202178955
266,-0.032,-0.032,1.056,-0.064,-0.064,0.992,-0.06146534653465351,-0.042455445544554486,1.0068910891089118,7.468444270169605e-05,0.00022525791589059901,0.00029532477208116936,Lie Still on Bed,0,1521642669.1169999,4.738000154495239
267,1.024,0.736,0.32,0.736,0.032,-0.64,0.8908641975308642,0.31683950617283974,-0.06558024691358026,0.0035765864959609833,0.006993665599756135,0.030540515165371134,Lie Down,0,1521642888.6759999,4.998000144958496
268,1.344,1.12,2.432,-1.056,-0.288,-0.64,0.4078297872340431,0.346212765957447,0.45378723404255333,0.2687223540063374,0.05028412494341331,0.3441285504753282,Lie Down,0,1521642891.1759999,4.998000144958496
269,1.344,1.12,2.432,-1.056,-0.288,0.16,0.07501075268817199,0.37711827956989263,0.8478279569892476,0.15072607515319658,0.04958911504220129,0.10003541126141764,Lie Down,0,1521642893.6759999,4.318000078201294
270,1.056,0.704,0.768,0.672,0.16,-0.448,0.9036190476190465,0.2797714285714288,0.03474285714285718,0.003345531065759639,0.011215795374149656,0.05982333387755102,Lie Down,0,1521642914.672,4.980000019073486
271,1.056,2.944,4.064,-1.152,-0.032,-0.448,0.41330841121495365,0.4294579439252335,0.4366355140186915,0.20750109179841053,0.10351084636212778,0.3671518951873522,Lie Down,0,1521642917.172,4.999000072479248
272,0.544,2.944,4.064,-1.152,-0.032,0.256,0.009290322580645142,0.551913978494623,0.7975913978494624,0.032076098508498,0.10010218614868788,0.15880228465718585,Lie Down,0,1521642919.672,4.299000024795532
273,1.152,0.896,2.976,-0.768,-0.192,-0.48,0.6385934065934066,0.3112087912087914,0.2352527472527474,0.18242755995652704,0.030563945417220142,0.2925798372177274,Lie Down,0,1521642945.7689998,4.981000185012817
274,1.152,0.896,2.976,-0.768,-0.192,-0.416,0.13043809523809524,0.4848761904761898,0.6506666666666663,0.1367419414058957,0.0434133275283446,0.22324500317460297,Lie Down,0,1521642948.2689998,4.981000185012817
275,0.928,0.608,1.184,-0.992,-0.8,0.032,0.5642105263157894,0.19242105263157908,0.17473684210526325,0.4782845872576177,0.05719561218836564,0.05918829916897508,Raise Hand Then Put It Down,0,1521643227.61,4.958000183105469
276,1.632,0.896,1.184,-0.992,-0.8,-0.352,0.4018461538461541,0.1876923076923078,0.20861538461538462,0.749544899408285,0.1312306745562129,0.10064700591715978,Raise Hand Then Put It Down,0,1521643230.11,4.988000154495239
277,0.928,0.64,1.376,-0.928,-0.8,0.0,0.6026666666666668,0.20586666666666675,0.12106666666666666,0.4077966222222223,0.07490104888888889,0.08141112888888888,Raise Hand Then Put It Down,0,1521643239.6969998,4.981000185012817
278,1.088,0.896,1.376,-0.928,-0.832,-0.192,0.5041095890410962,0.23715068493150693,0.2064657534246576,0.43172908388065295,0.11459922386939389,0.10655326252580229,Raise Hand Then Put It Down,0,1521643242.1969998,4.990000247955322
279,1.856,2.72,1.44,-0.864,-0.864,-0.8,0.5661538461538469,0.3387076923076924,0.18510769230769236,0.4448546840236686,0.31926405301775146,0.14532898840236688,Raise Hand Then Put It Down,0,1521643252.638,4.990000009536743
